tic,tls_sde,period,depth_pct,max_event_snr,period_fap,catalog_check,secondary_check,oddeven_check,depth_check,reason_retained
150102227,17.753768321375386,6.445149191414762,0.0167447819285682,3.5520839642473776,0.7642357642357642,"no Prsa2022/VSX match (15"" cone)",-0.3sig (<3 keep),1.1sig (<3 keep),0.017% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
231057252,17.73267755142783,0.6514798522534302,0.6607034491118324,2.8133069093828,0.5224775224775224,"no Prsa2022/VSX match (15"" cone)",-12.1sig (<3 keep),0.0sig (<3 keep),0.661% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
111267568,12.793142924231374,0.7501795518115295,0.0160957265128991,2.321748572668895,0.1478521478521478,"no Prsa2022/VSX match (15"" cone)",0.5sig (<3 keep),0.3sig (<3 keep),0.016% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
52307802,11.685908583889228,3.075501714296644,0.1881144281543623,3.185871989950249,0.3606393606393606,"no Prsa2022/VSX match (15"" cone)",-1.2sig (<3 keep),0.6sig (<3 keep),0.188% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
200657905,11.336329806953373,0.8993307173502043,0.1102503957748357,2.8609055515784525,0.2107892107892107,"no Prsa2022/VSX match (15"" cone)",2.3sig (<3 keep),0.3sig (<3 keep),0.110% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
355480244,11.32961771553324,19.36363554925607,0.021936777780851,6.776984201854685,0.3346653346653346,"no Prsa2022/VSX match (15"" cone)",1.1sig (<3 keep),2.8sig (<3 keep),0.022% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
260266449,11.234955738475772,14.978772898022914,0.0292292174991826,5.218142943913564,0.5174825174825175,"no Prsa2022/VSX match (15"" cone)",-2.5sig (<3 keep),0.4sig (<3 keep),0.029% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
231912935,10.896219491835208,26.29994232470545,0.1078265486904261,5.162455913639346,0.7282717282717283,"no Prsa2022/VSX match (15"" cone)",-0.6sig (<3 keep),0.3sig (<3 keep),0.108% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
231704059,10.859957190448196,0.6124149838198054,0.0255800531679617,3.2915463350235115,0.2427572427572427,"no Prsa2022/VSX match (15"" cone)",-5.4sig (<3 keep),0.7sig (<3 keep),0.026% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
228507309,10.635297825934565,1.109995218178406,0.8475524526974532,,,"no Prsa2022/VSX match (15"" cone)",-4.5sig (<3 keep),0.6sig (<3 keep),0.848% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
206615548,10.55204321929417,19.437307027322372,0.0210500877286468,6.704441674433476,0.7862137862137862,"no Prsa2022/VSX match (15"" cone)",-3.5sig (<3 keep),0.2sig (<3 keep),0.021% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
167698166,10.188235630633974,14.766640188114373,0.0510601178126179,5.854506205327917,0.983016983016983,"no Prsa2022/VSX match (15"" cone)",1.0sig (<3 keep),1.5sig (<3 keep),0.051% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
161168483,10.173820971184409,8.084609302635625,0.0384957360021975,5.9956453997508765,0.5824175824175825,"no Prsa2022/VSX match (15"" cone)",-0.3sig (<3 keep),1.0sig (<3 keep),0.038% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
425883195,10.084799446790454,11.10270422509444,0.0399773093201161,3.780989761213339,0.949050949050949,"no Prsa2022/VSX match (15"" cone)",0.3sig (<3 keep),0.0sig (<3 keep),0.040% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
66435575,9.822920706364236,24.187642738365714,0.0520466580291145,2.7920238462608604,0.2557442557442557,"no Prsa2022/VSX match (15"" cone)",-9.3sig (<3 keep),2.5sig (<3 keep),0.052% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
394494795,9.75522974562858,12.688679879877888,0.0633055807125693,6.485442111302086,0.1328671328671328,"no Prsa2022/VSX match (15"" cone)",-0.6sig (<3 keep),nansig (<3 keep),0.063% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
279091054,9.664772313644216,18.177027569281265,0.0849202729990672,6.448697879581131,0.2117882117882117,"no Prsa2022/VSX match (15"" cone)",-1.7sig (<3 keep),nansig (<3 keep),0.085% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
234497476,9.616822141067216,1.0412707029487096,0.3942905721771139,2.6600304561067576,0.0089910089910089,"no Prsa2022/VSX match (15"" cone)",-14.4sig (<3 keep),0.3sig (<3 keep),0.394% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
100102303,9.595587144553916,1.198332074585095,0.0307970305353788,3.345412384658381,0.97002997002997,"no Prsa2022/VSX match (15"" cone)",1.2sig (<3 keep),0.7sig (<3 keep),0.031% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
101932572,9.499323334517356,4.141127067150441,0.0327424963989075,3.162576419636707,0.3996003996003996,"no Prsa2022/VSX match (15"" cone)",0.4sig (<3 keep),0.6sig (<3 keep),0.033% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
279088539,9.421326464019629,13.119403844716146,0.0371527250409675,6.571379125209635,0.2337662337662337,"no Prsa2022/VSX match (15"" cone)",-1.2sig (<3 keep),0.7sig (<3 keep),0.037% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
303981359,9.328674537866071,24.71512041845483,0.0807855040525717,6.652509269907869,0.1468531468531468,"no Prsa2022/VSX match (15"" cone)",1.0sig (<3 keep),2.8sig (<3 keep),0.081% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
139763851,9.298208190681123,7.026940572072103,0.197294987909713,5.569207707253371,0.1668331668331668,"no Prsa2022/VSX match (15"" cone)",-2.4sig (<3 keep),0.2sig (<3 keep),0.197% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
150274632,9.28571799496986,15.866719226859948,0.0769238107265479,6.911511818816168,0.1548451548451548,"no Prsa2022/VSX match (15"" cone)",-0.6sig (<3 keep),0.8sig (<3 keep),0.077% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
260476107,9.258338121948608,15.995678423842175,0.0366916581744369,4.949937235993316,0.8361638361638362,"no Prsa2022/VSX match (15"" cone)",2.0sig (<3 keep),1.1sig (<3 keep),0.037% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
180723706,9.220418850651242,1.468298570138986,0.0216826247551149,2.9405685910150066,0.3256743256743257,"no Prsa2022/VSX match (15"" cone)",-3.7sig (<3 keep),0.4sig (<3 keep),0.022% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
279052786,9.135690561942509,14.685522113195612,0.0317784414402222,4.553751647366365,0.3356643356643357,"no Prsa2022/VSX match (15"" cone)",-1.0sig (<3 keep),0.4sig (<3 keep),0.032% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
53894240,9.120959053344096,12.429461884333977,0.1998152562845412,9.381421828650954,0.3536463536463536,"no Prsa2022/VSX match (15"" cone)",-1.2sig (<3 keep),nansig (<3 keep),0.200% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
92595555,9.11820577124247,11.984274008867205,0.2112839640806552,,,"no Prsa2022/VSX match (15"" cone)",-9.8sig (<3 keep),1.1sig (<3 keep),0.211% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
212381172,9.054791422999214,1.272668288736709,1.4994560645889332,3.1126084632486233,0.3576423576423576,"no Prsa2022/VSX match (15"" cone)",0.8sig (<3 keep),0.9sig (<3 keep),1.499% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
150359212,9.00080192865434,26.583023656931363,0.0419585715987214,4.579980720603354,0.5334665334665335,"no Prsa2022/VSX match (15"" cone)",-2.8sig (<3 keep),nansig (<3 keep),0.042% (<5% keep),passed catalog + secondary + odd-even + depth checks; no EB signature
