tic,fap_ref,routed,Lambda,shape_pass,n_transits,fap_gate_pass
100975203,0.2937062937062937,False,0.0,False,0,
101014057,0.7152847152847153,False,0.0,False,0,
101017159,0.7562437562437563,False,0.0,False,0,
101017638,0.1648351648351648,False,0.0,False,0,
100106368,0.3536463536463536,False,0.0,False,0,
100123131,0.978021978021978,False,0.0,False,0,
100123854,0.6303696303696303,False,0.0,False,0,
100921427,0.3136863136863136,False,0.0,False,0,
101058021,0.6503496503496503,False,0.0,False,0,
101070347,0.8321678321678322,True,4.908552156246283,False,16,False
101099031,0.3046953046953047,False,0.0,False,0,
101101390,0.7712287712287712,False,0.0,False,0,
101126095,0.5894105894105894,False,0.0,False,0,
101139085,0.1628371628371628,False,0.0,False,0,
101930558,0.8591408591408591,False,0.0,False,0,
101932572,0.3996003996003996,False,0.0,False,0,
100067280,0.2287712287712287,True,10.177703875773465,True,4,False
100101948,0.3806193806193806,True,13.352720144512825,True,22,False
100102303,0.97002997002997,False,0.0,False,0,
100103683,0.913086913086913,True,0.0005723001191038086,True,38,False
101933280,0.6183816183816184,False,0.0,False,0,
101944261,0.4975024975024975,False,0.0,False,0,
101948395,0.7302697302697303,False,0.0,False,0,
101963736,0.1978021978021978,False,0.0,False,0,
102029678,0.9790209790209792,False,0.0,False,0,
102049230,0.2757242757242757,False,0.0,False,0,
102063797,0.8661338661338661,False,0.0,False,0,
102070608,0.3896103896103896,False,0.0,False,0,
111245072,0.3156843156843157,False,0.0,False,0,
111267568,0.1478521478521478,False,0.0,False,0,
114750474,0.0619380619380619,False,0.0,False,0,
114818789,0.3846153846153846,True,0.0,False,10,False
102086414,0.8761238761238761,True,0.3177800570755674,True,26,False
10819194,0.5544455544455544,False,0.0,False,0,
10819945,,False,0.0,False,0,
10838083,0.6643356643356644,False,0.0,False,0,
11518255,0.3536463536463536,False,0.0,False,0,
115273603,0.7242757242757243,False,0.0,False,0,
115273621,0.4705294705294705,False,0.0,False,0,
115276582,0.6183816183816184,False,0.0,False,0,
114953091,0.0859140859140859,False,0.0,False,0,
115012786,0.0569430569430569,False,0.0,False,0,
115043101,0.1928071928071928,False,0.0,False,0,
115150962,0.7032967032967034,False,0.0,False,0,
114918596,0.6913086913086913,True,2.214122626700732,True,42,False
114948814,0.8111888111888111,True,30.906546840608854,True,3,False
114949823,0.5274725274725275,True,19.878886335599102,True,12,False
114952667,0.0619380619380619,False,0.0,False,0,
11528214,0.0699300699300699,False,0.0,False,0,
115284339,0.6183816183816184,True,34.775573558996875,True,2,False
115320495,0.1678321678321678,False,0.0,False,0,
115321756,0.4955044955044955,False,0.0,False,0,
115350058,0.6803196803196803,False,0.0,False,0,
11545988,0.7882117882117882,False,0.0,False,0,
11557550,0.8291708291708292,False,0.0,False,0,
115692561,0.2127872127872128,False,0.0,False,0,
115693639,0.5784215784215784,False,0.0,False,0,
11615061,0.2817182817182817,False,0.0,False,0,
11637281,0.3896103896103896,False,0.0,False,0,
11645778,0.5854145854145855,False,0.0,False,0,
11649564,0.4425574425574425,False,0.0,False,0,
11649619,0.3456543456543456,True,9.6518323239997,True,19,False
11649757,0.0059940059940059,False,0.0,False,0,
11651884,0.5764235764235764,False,0.0,False,0,
117549467,0.2127872127872128,False,0.0,False,0,
117643471,0.4775224775224775,False,0.0,False,0,
118826478,0.3696303696303696,False,0.0,False,0,
120414543,0.7332667332667333,False,0.0,False,0,
120430207,0.7972027972027972,False,0.0,False,0,
120461208,0.7442557442557443,False,0.0,False,0,
120461410,0.6513486513486514,False,0.0,False,0,
120505367,0.5414585414585414,False,0.0,False,0,
120565939,0.2157842157842157,False,0.0,False,0,
120584779,0.9170829170829172,False,0.0,False,0,
120608824,0.1298701298701298,False,0.0,False,0,
121423680,0.7672327672327672,False,0.0,False,0,
12434574,0.0389610389610389,False,0.0,False,0,
12509612,0.3276723276723277,False,0.0,False,0,
12787544,0.1418581418581418,False,0.0,False,0,
136842674,0.7972027972027972,False,0.0,False,0,
12377867,0.0089910089910089,False,0.0,False,0,
12393811,0.1268731268731268,False,0.0,False,0,
12393831,0.0789210789210789,False,0.0,False,0,
12418307,0.2167832167832167,False,0.0,False,0,
136845966,0.1228771228771228,False,0.0,False,0,
138711927,0.6713286713286714,False,0.0,False,0,
139122986,0.2787212787212787,False,0.0,False,0,
139700604,0.2777222777222777,False,0.0,False,0,
139763851,0.1668331668331668,False,0.0,False,0,
139844443,0.4345654345654345,False,0.0,False,0,
139987152,0.4115884115884116,False,0.0,False,0,
143923307,0.2987012987012987,False,0.0,False,0,
143923380,0.2047952047952048,False,0.0,False,0,
143952604,0.0799200799200799,False,0.0,False,0,
144068927,0.5414585414585414,False,0.0,False,0,
144102161,0.6773226773226774,False,0.0,False,0,
144102233,0.5474525474525475,True,18.763976492935544,True,5,False
144103775,0.7482517482517482,False,0.0,False,0,
144284767,0.3986013986013986,False,0.0,False,0,
144308900,0.5014985014985015,False,0.0,False,0,
144387241,0.6143856143856143,False,0.0,False,0,
144403828,0.6303696303696303,False,0.0,False,0,
144406842,0.1638361638361638,False,0.0,False,0,
144432683,0.3736263736263736,False,0.0,False,0,
144313331,0.8191808191808192,False,0.0,False,0,
144331448,0.2097902097902098,False,0.0,False,0,
144378625,0.5854145854145855,False,0.0,False,0,
144385668,0.6573426573426573,False,0.0,False,0,
144434171,0.6493506493506493,False,0.0,False,0,
144440091,0.5234765234765235,False,0.0,False,0,
144446304,0.1858141858141858,False,0.0,False,0,
144458200,0.2687312687312687,False,0.0,False,0,
149011533,0.6343656343656343,False,0.0,False,0,
149838741,0.8601398601398601,False,0.0,False,0,
149971277,0.7702297702297702,False,0.0,False,0,
149971537,0.5104895104895105,True,0.2756584323902694,True,59,False
150062502,0.5454545454545454,False,0.0,False,0,
150066811,0.2447552447552447,False,0.0,False,0,
150098542,0.4175824175824176,False,0.0,False,0,
150102227,0.7642357642357642,False,0.0,False,0,
149973044,0.4485514485514486,False,0.0,False,0,
149993861,0.961038961038961,True,11.970681649190604,True,6,False
150029502,0.4625374625374625,True,0.7792725293617909,True,49,False
150030950,0.4855144855144855,True,35.11634182582023,True,7,False
150104808,0.0629370629370629,True,42.726075285163496,False,53,False
150106948,0.2177822177822178,True,6.280090601279205,True,3,False
150146973,0.973026973026973,True,0.0,True,16,False
150188659,0.0799200799200799,False,0.0,False,0,
150270977,0.6193806193806194,True,4.644418068977726,True,26,False
150271706,0.4525474525474525,False,0.0,False,0,
150274632,0.1548451548451548,True,0.31933457671641385,True,22,False
150299078,0.0009990009990009,False,0.0,False,0,
150299115,0.8471528471528471,False,0.0,False,0,
150301109,0.2617382617382617,False,0.0,False,0,
150357290,,False,0.0,False,0,
150359212,0.5334665334665335,True,1.5315952879275223,True,70,False
152272780,0.5914085914085914,False,0.0,False,0,
152289084,0.2327672327672327,False,0.0,False,0,
152318730,0.0159840159840159,False,0.0,False,0,
152475818,0.4805194805194805,False,0.0,False,0,
150390619,0.0349650349650349,False,0.0,False,0,
150391118,0.3196803196803197,False,0.0,False,0,
150391436,0.0679320679320679,True,0.0,True,91,False
150391740,0.0779220779220779,False,0.0,False,0,
150440079,0.6073926073926074,True,13.734841712262165,True,33,False
150441905,0.8991008991008991,True,0.0,False,8,False
150442748,0.2767232767232767,False,0.0,False,0,
152069565,0.5754245754245755,False,0.0,False,0,
152536709,0.7372627372627373,False,0.0,False,0,
152537042,0.6493506493506493,False,0.0,False,0,
154616668,0.7412587412587412,False,0.0,False,0,
154844384,0.4265734265734265,False,0.0,False,0,
154844651,0.6733266733266733,False,0.0,False,0,
155315895,0.4035964035964036,False,0.0,False,0,
155316003,0.6333666333666333,False,0.0,False,0,
155895287,,False,0.0,False,0,
155944894,0.0099900099900099,True,25.291145297541775,False,6,True
155967977,0.4195804195804196,False,0.0,False,0,
155986202,0.5234765234765235,False,0.0,False,0,
156087003,0.4435564435564436,False,0.0,False,0,
158536201,0.6493506493506493,False,0.0,False,0,
158536220,0.1208791208791208,False,0.0,False,0,
158624328,0.1088911088911089,False,0.0,False,0,
159628098,0.7642357642357642,False,0.0,False,0,
159641248,0.1368631368631368,True,0.4232546079180543,True,32,False
160080353,0.2857142857142857,False,0.0,False,0,
160113035,0.1678321678321678,False,0.0,False,0,
160148428,0.4075924075924076,False,0.0,False,0,
160192747,0.6513486513486514,False,0.0,False,0,
160197441,0.4705294705294705,True,8.753576002688414,True,3,False
160225415,0.2927072927072927,False,0.0,False,0,
161153394,0.957042957042957,False,0.0,False,0,
161168147,0.5054945054945055,False,0.0,False,0,
161168483,0.5824175824175825,True,32.95967942244418,False,3,False
161169062,0.8721278721278721,True,14.78154541670697,True,5,False
161170644,0.2157842157842157,False,0.0,False,0,
161173424,0.1218781218781218,True,2.308482510014267,True,28,False
161174069,0.2547452547452547,True,2.328619136763282,True,16,False
161221229,0.0809190809190809,False,0.0,False,0,
161223640,0.8191808191808192,False,0.0,False,0,
161271850,0.1198801198801198,False,0.0,False,0,
161291273,0.4475524475524475,False,0.0,False,0,
161306328,0.918081918081918,False,0.0,False,0,
161313695,0.0359640359640359,True,16.814332878783272,False,3,False
161358441,0.3996003996003996,False,0.0,False,0,
161376469,0.5194805194805194,False,0.0,False,0,
161440068,0.1858141858141858,True,0.04728101626135532,True,40,False
161458420,0.7322677322677322,True,2.2314169406481894,True,23,False
164681149,0.5884115884115884,False,0.0,False,0,
164695091,0.8801198801198801,False,0.0,False,0,
164698728,0.3626373626373626,False,0.0,False,0,
164699594,,False,0.0,False,0,
164720895,0.6913086913086913,False,0.0,False,0,
164720937,0.1478521478521478,True,6.227832577016796,False,30,False
164768954,0.3086913086913087,False,0.0,False,0,
164772943,0.4705294705294705,True,0.0360199846062071,True,28,False
164775178,0.1918081918081918,False,0.0,False,0,
165889185,0.3136863136863136,False,0.0,False,0,
165940959,0.2657342657342657,False,0.0,False,0,
167526213,0.5274725274725275,True,2.914504443476817e-05,True,68,False
167723227,0.8291708291708292,False,0.0,False,0,
167797589,0.5714285714285714,True,0.16513992117971113,True,82,False
169266000,0.3126873126873127,False,0.0,False,0,
169304346,0.6503496503496503,False,0.0,False,0,
175392087,0.2937062937062937,False,0.0,False,0,
175397329,0.6433566433566433,False,0.0,False,0,
175405764,0.2597402597402597,False,0.0,False,0,
175405928,0.2707292707292707,False,0.0,False,0,
167526477,0.3096903096903097,False,0.0,False,0,
167549317,0.1098901098901098,False,0.0,False,0,
167655998,0.8281718281718282,True,0.0,True,67,False
167698166,0.983016983016983,True,0.5452811632242509,True,66,False
179284271,0.5944055944055944,True,1.625341275978744,True,7,False
179491590,0.3886113886113886,False,0.0,False,0,
179492666,0.2957042957042957,False,0.0,False,0,
179677491,0.7772227772227772,False,0.0,False,0,
175409859,0.1498501498501498,False,0.0,False,0,
175457541,0.6923076923076923,False,0.0,False,0,
175475124,0.1348651348651348,True,3.442171192452651,True,3,False
179282641,0.4785214785214785,True,0.3456121101514126,True,44,False
179823111,0.1808191808191808,False,0.0,False,0,
179986582,0.0939060939060939,False,0.0,False,0,
180413022,0.1068931068931069,False,0.0,False,0,
180444255,0.6073926073926074,False,0.0,False,0,
180724548,0.1958041958041958,False,0.0,False,0,
180999563,0.5404595404595405,False,0.0,False,0,
181454895,0.7542457542457542,True,11.21292957201073,True,4,False
182521219,0.1828171828171828,False,0.0,False,0,
183495016,0.1918081918081918,False,0.0,False,0,
183529176,0.939060939060939,False,0.0,False,0,
183529631,0.8421578421578422,True,3.491686965024092,True,2,False
183532275,0.3826173826173826,False,0.0,False,0,
180444967,0.6913086913086913,False,0.0,False,0,
180551167,0.2467532467532467,False,0.0,False,0,
180723706,0.3256743256743257,False,0.0,False,0,
180724528,0.1278721278721278,False,0.0,False,0,
183533154,0.2587412587412587,False,0.0,False,0,
183536420,0.3406593406593406,False,0.0,False,0,
183563012,,False,0.0,False,0,
183584918,0.6623376623376623,False,0.0,False,0,
183585025,0.2607392607392607,True,11.369335481934804,True,4,False
183585325,0.8001998001998002,False,0.0,False,0,
183594608,0.3726273726273726,False,0.0,False,0,
183619369,0.4145854145854146,False,0.0,False,0,
184137441,0.1318681318681318,False,0.0,False,0,
184240478,0.4135864135864135,False,0.0,False,0,
184449225,0.0899100899100899,False,0.0,False,0,
188544193,0.7252747252747253,False,0.0,False,0,
183620516,0.1628371628371628,True,2.934690403073358,True,39,False
183645350,0.0489510489510489,False,0.0,False,0,
183981752,0.8501498501498501,True,0.0,True,91,False
183984138,0.3756243756243756,True,0.8787767519889685,True,8,False
197784342,0.3666333666333666,False,0.0,False,0,
197804282,0.1058941058941058,False,0.0,False,0,
197806814,0.902097902097902,False,0.0,False,0,
197807043,0.4455544455544455,False,0.0,False,0,
197807302,0.8311688311688312,True,14.809746049428679,True,3,False
197808393,0.0559440559440559,False,0.0,False,0,
197830265,0.5214785214785215,False,0.0,False,0,
197845043,0.1688311688311688,False,0.0,False,0,
197887644,0.4345654345654345,False,0.0,False,0,
197935605,0.5414585414585414,False,0.0,False,0,
197950300,0.1318681318681318,False,0.0,False,0,
197955324,0.6263736263736264,True,1.5508853284712552,False,40,False
197846172,0.8021978021978022,False,0.0,False,0,
197880776,0.6713286713286714,False,0.0,False,0,
197885600,0.4515484515484515,False,0.0,False,0,
197886895,0.8721278721278721,True,3.0539784131023366,False,4,False
197961755,0.0009990009990009,False,0.0,False,0,
197978738,0.6103896103896104,False,0.0,False,0,
197979354,0.5834165834165834,False,0.0,False,0,
197983102,0.1488511488511488,False,0.0,False,0,
197985569,0.2907092907092907,False,0.0,False,0,
198005341,0.2857142857142857,True,60.96004340348942,True,11,False
198074705,0.5844155844155844,False,0.0,False,0,
198077554,0.2427572427572427,False,0.0,False,0,
198078007,0.7932067932067932,False,0.0,False,0,
198081001,0.1928071928071928,False,0.0,False,0,
199729914,0.3086913086913087,False,0.0,False,0,
199735746,0.5034965034965035,False,0.0,False,0,
200657905,0.2107892107892107,False,0.0,False,0,
200671041,0.1038961038961039,False,0.0,False,0,
200742257,0.4135864135864135,False,0.0,False,0,
200745217,0.1088911088911089,False,0.0,False,0,
200746541,0.2687312687312687,False,0.0,False,0,
200780252,0.4885114885114885,False,0.0,False,0,
200804116,0.5694305694305695,False,0.0,False,0,
200852526,1.0,False,0.0,False,0,
200852735,,False,0.0,False,0,
201365022,0.4675324675324675,False,0.0,False,0,
201753030,0.7552447552447552,False,0.0,False,0,
201753334,0.1578421578421578,False,0.0,False,0,
206401237,0.1518481518481518,False,0.0,False,0,
206402603,0.7632367632367633,False,0.0,False,0,
206435948,0.8421578421578422,False,0.0,False,0,
206467068,0.2177822177822178,True,5.262353644761623,False,25,False
206475215,0.8881118881118881,False,0.0,False,0,
206477756,0.4425574425574425,False,0.0,False,0,
206492386,0.1298701298701298,False,0.0,False,0,
206529534,0.7442557442557443,False,0.0,False,0,
201753500,,False,0.0,False,0,
204588986,0.4515484515484515,False,0.0,False,0,
206350311,0.6383616383616384,True,2.438203583282771,True,6,False
206385283,0.8131868131868132,False,0.0,False,0,
207177270,0.7832167832167832,True,18.373945496968403,True,3,False
207240752,0.1408591408591408,False,0.0,False,0,
20923934,0.2877122877122877,False,0.0,False,0,
20924063,,False,0.0,False,0,
207088262,0.0039960039960039,True,53.2260513455404,True,10,True
207090424,0.8881118881118881,False,0.0,False,0,
207174734,0.1178821178821178,False,0.0,False,0,
207174980,0.1288711288711288,False,0.0,False,0,
206532826,0.5724275724275725,True,23.979360122477413,True,2,False
206564625,0.2227772227772227,False,0.0,False,0,
206609649,0.4435564435564436,False,0.0,False,0,
206615548,0.7862137862137862,True,0.8802527159942496,True,6,False
219121412,0.2387612387612387,False,0.0,False,0,
219215835,0.0639360639360639,False,0.0,False,0,
219218631,0.3196803196803197,False,0.0,False,0,
219221780,0.7902097902097902,False,0.0,False,0,
211440800,0.6543456543456544,False,0.0,False,0,
212381172,0.3576423576423576,False,0.0,False,0,
218967667,0.5444555444555444,False,0.0,False,0,
218968119,0.3336663336663337,False,0.0,False,0,
218969746,0.8991008991008991,False,0.0,False,0,
218970269,0.1478521478521478,False,0.0,False,0,
218972061,0.3506493506493506,False,0.0,False,0,
218973038,0.0319680319680319,True,3.604988718873262,True,8,False
219233386,0.4265734265734265,False,0.0,False,0,
219234951,0.4545454545454545,False,0.0,False,0,
219236564,0.0849150849150849,False,0.0,False,0,
219240217,0.3606393606393606,False,0.0,False,0,
219246146,0.3316683316683316,False,0.0,False,0,
219251169,0.1268731268731268,False,0.0,False,0,
219317391,0.2757242757242757,False,0.0,False,0,
219318151,0.6133866133866134,False,0.0,False,0,
219342752,0.985014985014985,False,0.0,False,0,
220389925,0.7102897102897103,False,0.0,False,0,
220390069,0.0119880119880119,False,0.0,False,0,
220391299,0.2027972027972027,False,0.0,False,0,
220391375,0.5624375624375625,True,2.7142720727497567,True,10,False
220393352,0.5794205794205795,False,0.0,False,0,
220393406,0.6143856143856143,False,0.0,False,0,
220394878,0.3926073926073926,False,0.0,False,0,
219334470,0.8451548451548452,False,0.0,False,0,
219334689,0.4075924075924076,True,0.20906942222434038,True,59,False
219334997,0.4205794205794206,True,0.0,True,11,False
219337000,0.0869130869130869,False,0.0,False,0,
220397638,0.4535464535464535,False,0.0,False,0,
220399756,0.3476523476523476,False,0.0,False,0,
220405171,0.5754245754245755,True,3.39062335864396,True,62,False
220407099,0.3086913086913087,False,0.0,False,0,
220430530,0.5974025974025974,False,0.0,False,0,
220431435,0.7262737262737263,False,0.0,False,0,
220436741,0.1888111888111888,False,0.0,False,0,
220455309,0.1718281718281718,False,0.0,False,0,
220407213,0.6513486513486514,False,0.0,False,0,
220407530,0.8011988011988012,False,0.0,False,0,
220413881,0.1128871128871128,False,0.0,False,0,
220421994,0.0929070929070929,True,0.0,True,119,False
220459040,0.8561438561438561,False,0.0,False,0,
220482148,0.1848151848151848,False,0.0,False,0,
220485705,0.0599400599400599,False,0.0,False,0,
220491450,0.4255744255744256,False,0.0,False,0,
220595865,0.1068931068931069,False,0.0,False,0,
224278972,0.7662337662337663,False,0.0,False,0,
224281107,0.4095904095904096,True,0.0,True,32,False
224284606,0.6043956043956044,False,0.0,False,0,
228382006,0.2687312687312687,False,0.0,False,0,
228383297,0.7322677322677322,True,10.801845010961841,True,5,False
228507309,,False,0.0,False,0,
228507387,0.4665334665334665,False,0.0,False,0,
228569826,0.0619380619380619,False,0.0,False,0,
228613048,,False,0.0,False,0,
229012749,0.6703296703296703,True,0.08170854153031698,True,32,False
229051080,0.2277722277722277,False,0.0,False,0,
229053359,,False,0.0,False,0,
229112415,0.4765234765234765,True,0.48475734808535365,True,15,False
230983203,0.1758241758241758,False,0.0,False,0,
231009108,0.2667332667332667,False,0.0,False,0,
231023707,0.982017982017982,False,0.0,False,0,
231044412,0.1538461538461538,False,0.0,False,0,
231045282,0.4415584415584415,True,3.740289808651499,True,10,False
231048679,0.5264735264735265,True,1.5077022881762192,True,34,False
231057252,0.5224775224775224,False,0.0,False,0,
231059941,0.0859140859140859,False,0.0,False,0,
231268284,0.2347652347652347,False,0.0,False,0,
231627272,0.3496503496503496,False,0.0,False,0,
231627290,0.1608391608391608,False,0.0,False,0,
231630959,0.2967032967032967,False,0.0,False,0,
231636691,0.1318681318681318,False,0.0,False,0,
231668630,0.2307692307692307,False,0.0,False,0,
231701201,0.1318681318681318,False,0.0,False,0,
231704059,0.2427572427572427,False,0.0,False,0,
231704229,0.5094905094905094,False,0.0,False,0,
231715395,0.1478521478521478,True,149.72084533858768,True,26,False
231839537,0.5454545454545454,False,0.0,False,0,
231840159,0.3706293706293706,False,0.0,False,0,
231840839,0.3566433566433566,False,0.0,False,0,
231845790,0.0609390609390609,True,2.3016257035427614,True,7,False
231825380,0.944055944055944,False,0.0,False,0,
231831114,0.3506493506493506,False,0.0,False,0,
231831315,0.6723276723276723,True,1.2518334230913526,True,76,False
231832497,0.5754245754245755,True,1.5660580803364275,True,72,False
234525922,0.3496503496503496,False,0.0,False,0,
237340658,0.4155844155844156,False,0.0,False,0,
237356492,0.5504495504495505,False,0.0,False,0,
237358181,0.7042957042957043,False,0.0,False,0,
231853796,0.6743256743256744,False,0.0,False,0,
231862051,0.2057942057942058,False,0.0,False,0,
231867105,0.3866133866133866,True,0.0,True,32,False
231912935,0.7282717282717283,True,0.0,True,92,False
237906842,0.6343656343656343,False,0.0,False,0,
240849795,0.1118881118881118,False,0.0,False,0,
241393007,0.8491508491508492,False,0.0,False,0,
241444142,0.6333666333666333,False,0.0,False,0,
233959314,0.8351648351648352,True,2.191769819751045,True,86,False
233961272,0.1748251748251748,False,0.0,False,0,
234497476,0.0089910089910089,False,0.0,False,0,
234504902,0.7952047952047953,True,22.28097432360439,False,6,False
237879824,0.2357642357642357,True,3.9257415590687055,True,4,False
237883766,0.5054945054945055,False,0.0,False,0,
237886259,0.4115884115884116,False,0.0,False,0,
237886434,0.3156843156843157,False,0.0,False,0,
241577342,0.5644355644355644,False,0.0,False,0,
